Freq.	V(n002)
7.71791515585019e+03	(-2.55825917561971e-01dB,-1.38375736088384e+01°)
7.94328234724288e+03	(-2.78100972253269e-01dB,-1.44212503220739e+01°)
8.17523037943657e+03	(-3.02874251672982e-01dB,-1.50427046733787e+01°)
8.41395141645202e+03	(-3.30514706709841e-01dB,-1.57057704689627e+01°)
8.65964323360073e+03	(-3.61460944343403e-01dB,-1.64148141740846e+01°)
8.91250938133753e+03	(-3.96237367743482e-01dB,-1.71748263202754e+01°)
9.17275935389788e+03	(-4.35474766765846e-01dB,-1.79915311741267e+01°)
9.44060876285932e+03	(-4.79936787233496e-01dB,-1.88715186730712e+01°)
9.71627951577115e+03	(-5.30554231925523e-01dB,-1.98224035067379e+01°)
1.00000000000001e+04	(-5.88469888009159e-01dB,-2.08530172309289e+01°)
1.02920052719444e+04	(-6.55097635095034e-01dB,-2.19736404093096e+01°)
1.05925372517730e+04	(-7.32201116744072e-01dB,-2.31962828844655e+01°)
1.09018449238514e+04	(-8.21999487695281e-01dB,-2.45350211583796e+01°)
1.12201845430197e+04	(-9.27311037671036e-01dB,-2.60064020524930e+01°)
1.15478198468947e+04	(-1.05175040296291e+00dB,-2.76299204359980e+01°)
1.18850222743703e+04	(-1.20000250805105e+00dB,-2.94285742257641e+01°)
1.22320711904994e+04	(-1.37820780040347e+00dB,-3.14294891515371e+01°)
1.25892541179418e+04	(-1.59451122821603e+00dB,-3.36645838907572e+01°)
1.29568669751703e+04	(-1.85985611970207e+00dB,-3.61712047273010e+01°)
1.33352143216334e+04	(-2.18915179699683e+00dB,-3.89925848574788e+01°)
1.37246096100758e+04	(-2.60302690024432e+00dB,-4.21778588369574e+01°)
1.41253754462277e+04	(-3.13053592829874e+00dB,-4.57811682655187e+01°)
1.45378438560768e+04	(-3.81350655534680e+00dB,-4.98591261507190e+01°)
1.49623565609445e+04	(-4.71395696742415e+00dB,-5.44656167648539e+01°)
1.53992652605951e+04	(-5.92798185044653e+00dB,-5.96427871451429e+01°)
1.58489319246113e+04	(-7.61560819229824e+00dB,-6.54075675690200e+01°)
1.63117290922785e+04	(-1.00791640244786e+01dB,-7.17347671642453e+01°)
1.67880401812258e+04	(-1.40416451788037e+01dB,-7.85408855974871e+01°)
1.72782598050788e+04	(-2.24768780196092e+01dB,-8.56727035131228e+01°)
1.77827941003894e+04	(-2.57353254395502e+01dB,8.70160929570407e+01°)
1.83020610631107e+04	(-1.50835440649708e+01dB,7.98494205979408e+01°)
1.88364908948982e+04	(-1.06676816927686e+01dB,7.29687841643037e+01°)
1.93865263595223e+04	(-8.00234586998736e+00dB,6.65441714590768e+01°)
1.99526231496890e+04	(-6.19982305639928e+00dB,6.06712595340167e+01°)
2.05352502645717e+04	(-4.91249008949245e+00dB,5.53849897113294e+01°)
2.11348903983667e+04	(-3.96231956875849e+00dB,5.06749347551233e+01°)
2.17520403401955e+04	(-3.24434634600817e+00dB,4.65024879841871e+01°)
2.23872113856836e+04	(-2.69155063549949e+00dB,4.28151365030229e+01°)
2.30409297605587e+04	(-2.25903790514704e+00dB,3.95562823589115e+01°)
2.37137370566168e+04	(-1.91577156966852e+00dB,3.66710676227938e+01°)
2.44061906804201e+04	(-1.63979689218829e+00dB,3.41093207228494e+01°)
2.51188643150961e+04	(-1.41529519186282e+00dB,3.18266917280519e+01°)
2.58523483956222e+04	(-1.23068745665429e+00dB,2.97847647877586e+01°)
2.66072505979884e+04	(-1.07737712647798e+00dB,2.79506564342906e+01°)
2.73841963426439e+04	(-9.48898283752640e-01dB,2.62963996624615e+01°)
2.81838293126448e+04	(-8.40328347055002e-01dB,2.47982774206817e+01°)
2.90068119869319e+04	(-7.47877012450596e-01dB,2.34361871933720e+01°)
2.98538261891799e+04	(-6.68594645223940e-01dB,2.21930719834295e+01°)
3.07255736526748e+04	(-6.00162817245296e-01dB,2.10544282305357e+01°)
3.16227766016841e+04	(-5.40742081261567e-01dB,2.00078888750286e+01°)
3.25461783498050e+04	(-4.88860113210667e-01dB,1.90428743235141e+01°)
3.34965439157831e+04	(-4.43328651981011e-01dB,1.81503022479311e+01°)
3.44746606573153e+04	(-4.03181205997485e-01dB,1.73223471312682e+01°)
3.54813389233580e+04	(-3.67625890610354e-01dB,1.65522412677566e+01°)
3.65174127254842e+04	(-3.36009398774735e-01dB,1.58341100117776e+01°)
3.75837404288449e+04	(-3.07789240874349e-01dB,1.51628351878857e+01°)
3.86812054633057e+04	(-2.82512181632347e-01dB,1.45339416054336e+01°)
3.98107170553502e+04	(-2.59797361129071e-01dB,1.39435025205424e+01°)
4.09732109813546e+04	(-2.39322985322519e-01dB,1.33880606478800e+01°)
4.21696503428587e+04	(-2.20815757935187e-01dB,1.28645619543556e+01°)
4.34010263644749e+04	(-2.04042433381596e-01dB,1.23702999825610e+01°)
4.46683592150968e+04	(-1.88803022437052e-01dB,1.19028688712098e+01°)
4.59726988530878e+04	(-1.74925294468558e-01dB,1.14601235795453e+01°)
4.73151258961486e+04	(-1.62260303383525e-01dB,1.10401460973100e+01°)
4.86967525165869e+04	(-1.50678726855298e-01dB,1.06412166437769e+01°)
5.01187233627278e+04	(-1.40067855449928e-01dB,1.02617890387309e+01°)
5.15822165072312e+04	(-1.30329104020586e-01dB,9.90046957352216e+00°)
5.30884444230995e+04	(-1.21375945058759e-01dB,9.55599882808628e+00°)
5.46386549881861e+04	(-1.13132184710685e-01dB,9.22723597556914e+00°)
5.62341325190356e+04	(-1.05530518436268e-01dB,8.91314519420381e+00°)
5.78761988349128e+04	(-9.85113159532509e-02dB,8.61278386983634e+00°)
5.95662143529018e+04	(-9.20215950255259e-02dB,8.32529232473150e+00°)
6.13055792149828e+04	(-8.60141514595355e-02dB,8.04988485121964e+00°)
6.30957344480201e+04	(-8.04468188484921e-02dB,7.78584186413203e+00°)
6.49381631576219e+04	(-7.52818365147666e-02dB,7.53250301522927e+00°)
6.68343917568623e+04	(-7.04853080245921e-02dB,7.28926113708848e+00°)
6.87859912308816e+04	(-6.60267357985879e-02dB,7.05555690409493e+00°)
7.07945784384147e+04	(-6.18786198810092e-02dB,6.83087411501758e+00°)
7.28618174513237e+04	(-5.80161109867292e-02dB,6.61473551573258e+00°)
7.49894209332466e+04	(-5.44167096166720e-02dB,6.40669909247651e+00°)
7.71791515585022e+04	(-5.10600043972043e-02dB,6.20635477595555e+00°)
7.94328234724292e+04	(-4.79274439170663e-02dB,6.01332150502768e+00°)
8.17523037943661e+04	(-4.50021372553207e-02dB,5.82724460577455e+00°)
8.41395141645206e+04	(-4.22686791528139e-02dB,5.64779344780283e+00°)
8.65964323360077e+04	(-3.97129964085073e-02dB,5.47465934473815e+00°)
8.91250938133757e+04	(-3.73222126045079e-02dB,5.30755367024314e+00°)
9.17275935389792e+04	(-3.50845286992461e-02dB,5.14620616462648e+00°)
9.44060876285936e+04	(-3.29891173926058e-02dB,4.99036341031001e+00°)
9.71627951577119e+04	(-3.10260294723419e-02dB,4.83978745717088e+00°)
1.00000000000000e+05	(-2.91861106082056e-02dB,4.69425458114268e+00°)
