time	V(X,Y)
0.000000000000000e+00	0.000000e+00
4.882812470324849e-12	7.578646e-01
9.765624940649698e-12	7.578734e-01
1.953124988129940e-11	7.578909e-01
3.906249976259879e-11	7.579260e-01
7.812499952519758e-11	7.579961e-01
1.562499990503952e-10	7.581364e-01
3.124999981007903e-10	7.584170e-01
6.249999962015806e-10	7.589781e-01
1.249999992403161e-09	7.601003e-01
2.499999984806323e-09	7.623442e-01
4.999999969612645e-09	7.668299e-01
9.999999939225290e-09	7.757935e-01
1.999999987845058e-08	7.936891e-01
3.999999975690116e-08	8.293540e-01
7.999999951380232e-08	9.001803e-01
1.599999990276046e-07	1.039832e+00
3.199999980552093e-07	1.311231e+00
6.399999961104186e-07	1.823204e+00
1.128281246110419e-06	2.528471e+00
1.616562496110419e-06	3.146827e+00
2.104843746110419e-06	3.683995e+00
2.593124996110419e-06	4.145541e+00
3.081406246110419e-06	4.536855e+00
3.569687496110419e-06	4.863143e+00
4.057968746110418e-06	5.129422e+00
4.546249996110419e-06	5.340503e+00
5.034531246110419e-06	5.500998e+00
5.522812496110420e-06	5.615307e+00
6.011093746110420e-06	5.687621e+00
6.499374996110420e-06	5.721920e+00
6.987656246110421e-06	5.721975e+00
7.475937496110421e-06	5.691347e+00
7.964218746110422e-06	5.633391e+00
8.452499996110422e-06	5.551262e+00
8.940781246110423e-06	5.447913e+00
9.429062496110423e-06	5.326105e+00
9.917343746110423e-06	5.188412e+00
1.040562499611042e-05	5.037225e+00
1.089390624611042e-05	4.874756e+00
1.138218749611042e-05	4.703052e+00
1.187046874611043e-05	4.523992e+00
1.235874999611043e-05	4.339302e+00
1.284703124611043e-05	4.150558e+00
1.333531249611043e-05	3.959193e+00
1.382359374611043e-05	3.766507e+00
1.431187499611043e-05	3.573669e+00
1.480015624611043e-05	3.381729e+00
1.528843749611043e-05	3.191623e+00
1.577671874611043e-05	3.004179e+00
1.626499999611043e-05	2.820125e+00
1.675328124611043e-05	2.640096e+00
1.724156249611043e-05	2.464638e+00
1.772984374611043e-05	2.294217e+00
1.821812499611043e-05	2.129221e+00
1.870640624611043e-05	1.969972e+00
1.919468749611043e-05	1.816726e+00
1.968296874611043e-05	1.669679e+00
2.017124999611043e-05	1.528976e+00
2.065953124611043e-05	1.394710e+00
2.114781249611043e-05	1.266933e+00
2.163609374611043e-05	1.145654e+00
2.212437499611043e-05	1.030847e+00
2.261265624611043e-05	9.224557e-01
2.310093749611044e-05	8.203931e-01
2.358921874611044e-05	7.245482e-01
2.407749999611044e-05	6.347884e-01
2.456578124611044e-05	5.509616e-01
2.505406249611044e-05	4.729003e-01
2.554234374611044e-05	4.004235e-01
2.603062499611044e-05	3.333387e-01
2.651890624611044e-05	2.714449e-01
2.700718749611044e-05	2.145339e-01
2.749546874611044e-05	1.623926e-01
2.798374999611044e-05	1.148044e-01
2.847203124611044e-05	7.155085e-02
