time	V(n002)
1.688836489979052e-04	-1.341694e-01
1.693719302479052e-04	-1.298938e-01
1.698602114979052e-04	-1.257544e-01
1.703484927479052e-04	-1.217470e-01
1.708367739979052e-04	-1.178673e-01
1.713250552479052e-04	-1.141112e-01
1.718133364979052e-04	-1.104748e-01
1.723016177479052e-04	-1.069543e-01
1.727898989979052e-04	-1.035459e-01
1.732781802479052e-04	-1.002462e-01
1.737664614979052e-04	-9.705165e-02
1.742547427479052e-04	-9.395888e-02
1.747430239979052e-04	-9.096468e-02
1.752313052479052e-04	-8.806590e-02
1.757195864979052e-04	-8.525949e-02
1.762078677479052e-04	-8.254251e-02
1.766961489979052e-04	-7.991211e-02
1.771844302479052e-04	-7.736554e-02
1.776727114979052e-04	-7.490012e-02
1.781609927479052e-04	-7.251327e-02
1.786492739979052e-04	-7.020248e-02
1.791375552479052e-04	-6.796532e-02
1.796258364979052e-04	-6.579946e-02
1.801141177479052e-04	-6.370262e-02
1.806023989979052e-04	-6.167259e-02
1.810906802479052e-04	-5.970727e-02
1.815789614979052e-04	-5.780457e-02
1.820672427479052e-04	-5.596250e-02
1.825555239979052e-04	-5.417913e-02
1.830438052479052e-04	-5.245259e-02
1.835320864979052e-04	-5.078108e-02
1.840203677479052e-04	-4.916283e-02
1.845086489979052e-04	-4.759615e-02
1.849969302479052e-04	-4.607940e-02
1.854852114979052e-04	-4.461098e-02
1.859734927479052e-04	-4.318935e-02
1.864617739979052e-04	-4.181303e-02
1.869500552479052e-04	-4.048057e-02
1.874383364979052e-04	-3.919057e-02
1.879266177479052e-04	-3.794168e-02
1.884148989979052e-04	-3.673258e-02
1.889031802479052e-04	-3.556202e-02
1.893914614979052e-04	-3.442876e-02
1.898797427479052e-04	-3.333161e-02
1.903680239979052e-04	-3.226943e-02
1.908563052479052e-04	-3.124109e-02
1.913445864979052e-04	-3.024553e-02
1.918328677479052e-04	-2.928169e-02
1.923211489979052e-04	-2.834856e-02
1.928094302479052e-04	-2.744517e-02
1.932977114979052e-04	-2.657058e-02
1.937859927479052e-04	-2.572385e-02
1.942742739979052e-04	-2.490410e-02
1.947625552479052e-04	-2.411048e-02
1.952508364979052e-04	-2.334215e-02
1.957391177479052e-04	-2.259830e-02
1.962273989979052e-04	-2.187815e-02
1.967156802479052e-04	-2.118096e-02
1.972039614979052e-04	-2.050598e-02
1.976922427479052e-04	-1.985252e-02
1.981805239979052e-04	-1.921987e-02
1.986688052479052e-04	-1.860739e-02
1.991570864979052e-04	-1.801442e-02
1.996453677479052e-04	-1.744035e-02
2.000000000000000e-04	-1.703495e-02
2.000000010000000e-04	1.391901e+00
2.000000169999999e-04	1.391951e+00
2.000000489999998e-04	1.392052e+00
2.000001129999995e-04	1.392252e+00
2.000002409999990e-04	1.392653e+00
2.000004969999980e-04	1.393455e+00
2.000010089999960e-04	1.395058e+00
2.000020329999919e-04	1.398263e+00
2.000040809999837e-04	1.404670e+00
2.000081769999673e-04	1.417468e+00
2.000163689999346e-04	1.443005e+00
2.000327529998691e-04	1.493840e+00
2.000655209997382e-04	1.594564e+00
2.001310569994763e-04	1.792270e+00
2.002621289989526e-04	2.173112e+00
2.005242729979051e-04	2.879498e+00
2.010125542479051e-04	4.017095e+00
2.015008354979051e-04	4.949258e+00
2.019891167479051e-04	5.706563e+00
2.024773979979051e-04	6.315197e+00
2.029656792479051e-04	6.797585e+00
2.034539604979051e-04	7.172927e+00
2.039422417479051e-04	7.457654e+00
2.044305229979051e-04	7.665823e+00
2.049188042479051e-04	7.809459e+00
2.054070854979051e-04	7.898842e+00
2.058953667479051e-04	7.942756e+00
2.063836479979051e-04	7.948703e+00
2.068719292479051e-04	7.923086e+00
2.073602104979051e-04	7.871368e+00
2.078484917479051e-04	7.798203e+00
2.083367729979051e-04	7.707554e+00
2.088250542479051e-04	7.602793e+00
2.093133354979051e-04	7.486784e+00
2.098016167479051e-04	7.361959e+00
2.102898979979051e-04	7.230373e+00
2.107781792479051e-04	7.093768e+00
2.112664604979051e-04	6.953613e+00
2.117547417479051e-04	6.811143e+00
2.122430229979051e-04	6.667395e+00
2.127313042479051e-04	6.523235e+00
2.132195854979051e-04	6.379387e+00
2.137078667479051e-04	6.236448e+00
2.141961479979051e-04	6.094912e+00
2.146844292479051e-04	5.955180e+00
2.151727104979051e-04	5.817581e+00
2.156609917479051e-04	5.682376e+00
2.161492729979051e-04	5.549771e+00
2.166375542479051e-04	5.419926e+00
2.171258354979051e-04	5.292961e+00
2.176141167479051e-04	5.168963e+00
2.181023979979051e-04	5.047991e+00
2.185906792479051e-04	4.930079e+00
2.190789604979051e-04	4.815244e+00
2.195672417479051e-04	4.703484e+00
2.200555229979051e-04	4.594783e+00
2.205438042479051e-04	4.489116e+00
2.210320854979051e-04	4.386447e+00
2.215203667479051e-04	4.286733e+00
2.220086479979051e-04	4.189925e+00
2.224969292479051e-04	4.095969e+00
2.229852104979051e-04	4.004806e+00
2.234734917479051e-04	3.916377e+00
2.239617729979051e-04	3.830619e+00
2.244500542479051e-04	3.747467e+00
2.249383354979051e-04	3.666857e+00
2.254266167479051e-04	3.588722e+00
2.259148979979051e-04	3.512998e+00
2.264031792479051e-04	3.439618e+00
2.268914604979051e-04	3.368518e+00
2.273797417479051e-04	3.299633e+00
2.278680229979051e-04	3.232900e+00
2.283563042479051e-04	3.168257e+00
2.288445854979051e-04	3.105641e+00
2.293328667479051e-04	3.044994e+00
2.298211479979051e-04	2.986256e+00
2.303094292479051e-04	2.929370e+00
2.307977104979051e-04	2.874279e+00
2.312859917479051e-04	2.820929e+00
2.317742729979051e-04	2.769267e+00
2.322625542479051e-04	2.719240e+00
2.327508354979051e-04	2.670797e+00
2.332391167479051e-04	2.623891e+00
2.337273979979051e-04	2.578472e+00
2.342156792479051e-04	2.534495e+00
2.347039604979051e-04	2.491914e+00
2.351922417479051e-04	2.450686e+00
2.356805229979051e-04	2.410768e+00
2.361688042479051e-04	2.372119e+00
2.366570854979051e-04	2.334698e+00
2.371453667479051e-04	2.298468e+00
2.376336479979051e-04	2.263391e+00
2.381219292479051e-04	2.229429e+00
2.386102104979051e-04	2.196548e+00
2.390984917479051e-04	2.164714e+00
2.395867729979051e-04	2.133893e+00
2.400750542479051e-04	2.104053e+00
2.405633354979051e-04	2.075164e+00
2.410516167479051e-04	2.047194e+00
2.415398979979051e-04	2.020115e+00
2.420281792479051e-04	1.993899e+00
2.425164604979051e-04	1.968517e+00
2.430047417479051e-04	1.943944e+00
2.434930229979051e-04	1.920154e+00
2.439813042479051e-04	1.897121e+00
2.444695854979051e-04	1.874823e+00
2.449578667479051e-04	1.853234e+00
2.454461479979051e-04	1.832334e+00
2.459344292479051e-04	1.812099e+00
2.464227104979051e-04	1.792509e+00
2.469109917479051e-04	1.773544e+00
2.473992729979051e-04	1.755182e+00
2.478875542479051e-04	1.737406e+00
2.483758354979051e-04	1.720196e+00
2.488641167479051e-04	1.703534e+00
2.493523979979051e-04	1.687403e+00
2.498406792479051e-04	1.671787e+00
2.503289604979051e-04	1.656668e+00
2.508172417479051e-04	1.642030e+00
2.513055229979051e-04	1.627859e+00
2.517938042479051e-04	1.614140e+00
2.522820854979051e-04	1.600858e+00
2.527703667479051e-04	1.587999e+00
2.532586479979051e-04	1.575550e+00
2.537469292479051e-04	1.563497e+00
2.542352104979051e-04	1.551829e+00
2.547234917479051e-04	1.540532e+00
2.552117729979051e-04	1.529596e+00
2.557000542479051e-04	1.519008e+00
2.561883354979051e-04	1.508757e+00
2.566766167479051e-04	1.498833e+00
2.571648979979051e-04	1.489225e+00
2.576531792479051e-04	1.479924e+00
2.581414604979051e-04	1.470919e+00
2.586297417479051e-04	1.462200e+00
