x-axis,2
second,Volt
+83.4435000E-03,-1.3765703738E+00
+83.4436400E-03,-1.5775754005E+00
+83.4437800E-03,-1.4212381570E+00
+83.4439200E-03,-1.6445770754E+00
+83.4440600E-03,-1.4659059404E+00
+83.4442000E-03,-1.6892448587E+00
+83.4443400E-03,-1.5775754005E+00
+83.4444800E-03,-1.6222431856E+00
+83.4446200E-03,-1.5775754005E+00
+83.4447600E-03,-1.5775754005E+00
+83.4449000E-03,-1.4212381535E+00
+83.4450400E-03,-1.6892448641E+00
+83.4451800E-03,-1.4435720470E+00
+83.4453200E-03,-1.6669109653E+00
+83.4454600E-03,-1.5775754005E+00
+83.4456000E-03,-1.5775754005E+00
+83.4457400E-03,-1.7339126403E+00
+83.4458800E-03,-1.3765703738E+00
+83.4460200E-03,-1.5775754005E+00
+83.4461600E-03,-1.5999092886E+00
+83.4463000E-03,-1.5775754005E+00
+83.4464400E-03,-1.5775754005E+00
+83.4465800E-03,-1.4659059369E+00
+83.4467200E-03,-1.5775754005E+00
+83.4468600E-03,-1.7785804272E+00
+83.4470000E-03,-1.5775754005E+00
+83.4471400E-03,-1.7339126333E+00
+83.4472800E-03,-1.5775754005E+00
+83.4474200E-03,-1.5999092869E+00
+83.4475600E-03,-1.6222431785E+00
+83.4477000E-03,-1.5105737132E+00
+83.4478400E-03,-1.4882398391E+00
+83.4479800E-03,-1.5775754005E+00
+83.4481200E-03,-1.5105737377E+00
+83.4482600E-03,-1.5775754005E+00
+83.4484000E-03,-1.5775754005E+00
+83.4485400E-03,-1.5775754005E+00
+83.4486800E-03,-1.7785804272E+00
+83.4488200E-03,-1.7339126508E+00
+83.4489600E-03,-1.5105737098E+00
+83.4491000E-03,-1.6669109601E+00
+83.4492400E-03,-1.8679160025E+00
+83.4493800E-03,-1.5775754005E+00
+83.4495200E-03,-1.6222431925E+00
+83.4496600E-03,-1.5999093008E+00
+83.4498000E-03,-1.5775753918E+00
+83.4499400E-03,-1.7562465442E+00
+83.4500800E-03,-1.6222431751E+00
+83.4502200E-03,-1.7785804272E+00
+83.4503600E-03,-1.6892448692E+00
+83.4505000E-03,-1.5999092730E+00
+83.4506400E-03,-1.6445770859E+00
+83.4507800E-03,-1.7785804272E+00
+83.4509200E-03,-1.7562465251E+00
+83.4510600E-03,-1.7785804167E+00
+83.4512000E-03,-1.6222431629E+00
+83.4513400E-03,-1.4212381467E+00
+83.4514800E-03,-1.6445770981E+00
+83.4516200E-03,-1.6669109567E+00
+83.4517600E-03,-1.6892448483E+00
+83.4519000E-03,-1.6445770876E+00
+83.4520400E-03,-1.5775754005E+00
+83.4521800E-03,-1.5999093043E+00
+83.4523200E-03,-1.5775754126E+00
+83.4524600E-03,-1.7785804272E+00
+83.4526000E-03,-1.5775754005E+00
+83.4527400E-03,-1.6445771015E+00
+83.4528800E-03,-1.5775754005E+00
+83.4530200E-03,-1.5775754005E+00
+83.4531600E-03,-1.8455820761E+00
+83.4533000E-03,-1.5329076032E+00
+83.4534400E-03,-1.7785804272E+00
+83.4535800E-03,-1.5775754005E+00
+83.4537200E-03,-1.5775754005E+00
+83.4538600E-03,-1.7785804272E+00
+83.4540000E-03,-1.9125837928E+00
+83.4541400E-03,-1.6892448744E+00
+83.4542800E-03,-1.6669109828E+00
+83.4544200E-03,-1.7115787366E+00
+83.4545600E-03,-1.6222431994E+00
+83.4547000E-03,-1.9572515466E+00
+83.4548400E-03,-1.7785804272E+00
+83.4549800E-03,-1.7562465511E+00
+83.4551200E-03,-1.7785804272E+00
+83.4552600E-03,-1.6445770598E+00
+83.4554000E-03,-1.6892448761E+00
+83.4555400E-03,-1.7785804272E+00
+83.4556800E-03,-1.9125837615E+00
+83.4558200E-03,-1.5775754005E+00
+83.4559600E-03,-1.7785804272E+00
+83.4561000E-03,-1.7785804272E+00
+83.4562400E-03,-1.7562465529E+00
+83.4563800E-03,-1.7785804272E+00
+83.4565200E-03,-1.6445771119E+00
+83.4566600E-03,-1.5775754005E+00
+83.4568000E-03,-1.7785804272E+00
+83.4569400E-03,-1.9125838153E+00
+83.4570800E-03,-1.7785804272E+00
+83.4572200E-03,-1.5775754005E+00
+83.4573600E-03,-1.7785804081E+00
+83.4575000E-03,-1.5999092730E+00
+83.4576400E-03,-1.7339126629E+00
+83.4577800E-03,-1.6445770564E+00
+83.4579200E-03,-1.6669109480E+00
+83.4580600E-03,-1.7785804272E+00
+83.4582000E-03,-1.7115787314E+00
+83.4583400E-03,-1.7785804272E+00
+83.4584800E-03,-1.7562465147E+00
+83.4586200E-03,-1.7785804272E+00
+83.4587600E-03,-1.9572515830E+00
+83.4589000E-03,-1.7785804272E+00
+83.4590400E-03,-1.7785804272E+00
+83.4591800E-03,-1.7785804272E+00
+83.4593200E-03,-1.7562465789E+00
+83.4594600E-03,-1.6445770321E+00
+83.4596000E-03,-1.7785804272E+00
