time	I(L1)
2.261265624611043e-05	8.311342e-02
2.310093749611044e-05	8.353888e-02
2.358921874611044e-05	8.391602e-02
2.407749999611044e-05	8.424785e-02
2.456578124611044e-05	8.453730e-02
2.505406249611044e-05	8.478722e-02
2.554234374611044e-05	8.500040e-02
2.603062499611044e-05	8.517949e-02
2.651890624611044e-05	8.532710e-02
2.700718749611044e-05	8.544571e-02
2.749546874611044e-05	8.553769e-02
2.798374999611044e-05	8.560532e-02
2.847203124611044e-05	8.565078e-02
2.896031249611044e-05	8.567612e-02
2.944859374611044e-05	8.568330e-02
2.993687499611044e-05	8.567417e-02
3.042515624611044e-05	8.565048e-02
3.091343749611044e-05	8.561387e-02
3.140171874611044e-05	8.556588e-02
3.188999999611044e-05	8.550794e-02
3.237828124611044e-05	8.544142e-02
3.286656249611044e-05	8.536754e-02
3.335484374611044e-05	8.528748e-02
3.384312499611044e-05	8.520231e-02
3.433140624611044e-05	8.511302e-02
3.481968749611044e-05	8.502050e-02
3.530796874611044e-05	8.492561e-02
3.579624999611044e-05	8.482908e-02
3.628453124611044e-05	8.473162e-02
3.677281249611044e-05	8.463383e-02
3.726109374611044e-05	8.453627e-02
3.774937499611044e-05	8.443946e-02
3.823765624611045e-05	8.434381e-02
3.872593749611045e-05	8.424974e-02
3.921421874611045e-05	8.415758e-02
3.970249999611045e-05	8.406762e-02
4.019078124611045e-05	8.398011e-02
4.067906249611045e-05	8.389528e-02
4.116734374611045e-05	8.381330e-02
4.165562499611045e-05	8.373431e-02
4.214390624611045e-05	8.365843e-02
4.263218749611045e-05	8.358572e-02
4.312046874611045e-05	8.351627e-02
4.360874999611045e-05	8.345009e-02
4.409703124611045e-05	8.338722e-02
4.458531249611045e-05	8.332763e-02
4.507359374611045e-05	8.327130e-02
4.556187499611045e-05	8.321821e-02
4.605015624611045e-05	8.316829e-02
4.653843749611045e-05	8.312149e-02
4.702671874611045e-05	8.307773e-02
4.751499999611045e-05	8.303692e-02
4.800328124611045e-05	8.299899e-02
4.849156249611045e-05	8.296384e-02
4.897984374611045e-05	8.293135e-02
4.946812499611046e-05	8.290145e-02
4.995640624611046e-05	8.287400e-02
5.044468749611046e-05	8.284891e-02
5.093296874611046e-05	8.282606e-02
5.142124999611046e-05	8.280535e-02
5.190953124611046e-05	8.278666e-02
5.239781249611046e-05	8.276988e-02
5.288609374611046e-05	8.275490e-02
5.337437499611046e-05	8.274163e-02
5.386265624611046e-05	8.272994e-02
5.435093749611046e-05	8.271974e-02
5.483921874611046e-05	8.271093e-02
5.532749999611046e-05	8.270341e-02
5.581578124611046e-05	8.269709e-02
5.630406249611046e-05	8.269187e-02
5.679234374611046e-05	8.268767e-02
