Freq.	V(n006)
3.99052462993776e+01	(-2.00208859084208e+01dB,1.26492254919082e+02°)
4.08347588933905e+01	(-1.97246548186182e+01dB,1.25626795844699e+02°)
4.17859226170808e+01	(-1.94309180869117e+01dB,1.24756843993682e+02°)
4.27592417900446e+01	(-1.91396823504929e+01dB,1.23882654340515e+02°)
4.37552324789910e+01	(-1.88509521866576e+01dB,1.23004479316984e+02°)
4.47744227713667e+01	(-1.85647301457002e+01dB,1.22122567923113e+02°)
4.58173530553554e+01	(-1.82810167942545e+01dB,1.21237164855985e+02°)
4.68845763063984e+01	(-1.79998107688181e+01dB,1.20348509662390e+02°)
4.79766583803898e+01	(-1.77211088391060e+01dB,1.19456835921053e+02°)
4.90941783137006e+01	(-1.74449059807982e+01dB,1.18562370459910e+02°)
5.02377286301915e+01	(-1.71711954571716e+01dB,1.17665332613559e+02°)
5.14079156553772e+01	(-1.68999689090334e+01dB,1.16765933525622e+02°)
5.26053598379076e+01	(-1.66312164523137e+01dB,1.15864375500335e+02°)
5.38306960785382e+01	(-1.63649267826244e+01dB,1.14960851407200e+02°)
5.50845740667633e+01	(-1.61010872860410e+01dB,1.14055544142050e+02°)
5.63676586252890e+01	(-1.58396841553375e+01dB,1.13148626147362e+02°)
5.76806300625320e+01	(-1.55807025108702e+01dB,1.12240258994129e+02°)
5.90241845333276e+01	(-1.53241265252982e+01dB,1.11330593027066e+02°)
6.03990344080402e+01	(-1.50699395513139e+01dB,1.10419767074411e+02°)
6.18059086502717e+01	(-1.48181242515624e+01dB,1.09507908223071e+02°)
6.32455532033675e+01	(-1.45686627299363e+01dB,1.08595131659362e+02°)
6.47187313859256e+01	(-1.43215366634473e+01dB,1.07681540575121e+02°)
6.62262242965181e+01	(-1.40767274339023e+01dB,1.06767226138543e+02°)
6.77688312278404e+01	(-1.38342162586358e+01dB,1.05852267528656e+02°)
6.93473700905062e+01	(-1.35939843195875e+01dB,1.04936732032011e+02°)
7.09626778467150e+01	(-1.33560128900492e+01dB,1.04020675199796e+02°)
7.26156109540201e+01	(-1.31202834584475e+01dB,1.03104141063296e+02°)
7.43070458194344e+01	(-1.28867778485681e+01dB,1.02187162405369e+02°)
7.60378792641121e+01	(-1.26554783356758e+01dB,1.01269761085376e+02°)
7.78090289988560e+01	(-1.24263677580261e+01dB,1.00351948414829e+02°)
7.96214341106993e+01	(-1.21994296233089e+01dB,9.94337255808464e+01°)
8.14760555608224e+01	(-1.19746482096109e+01dB,9.85150841144447e+01°)
8.33738766940669e+01	(-1.17520086605245e+01dB,9.75960064005345e+01°)
8.53159037603184e+01	(-1.15314970740702e+01dB,9.66764662264951e+01°)
8.73031664480330e+01	(-1.13131005851434e+01dB,9.57564293661268e+01°)
8.93367184301924e+01	(-1.10968074412278e+01dB,9.48358541957785e+01°)
9.14176379229748e+01	(-1.08826070711548e+01dB,9.39146923394450e+01°)
9.35470282574394e+01	(-1.06704901467203e+01dB,9.29928893396401e+01°)
9.57260184645275e+01	(-1.04604486369963e+01dB,9.20703853508751e+01°)
9.79557638736890e+01	(-1.02524758552052e+01dB,9.11471158525978e+01°)
1.00237446725454e+02	(-1.00465664980461e+01dB,9.02230123784783e+01°)
1.02572276798273e+02	(-9.84271667738571e+00dB,8.92980032589589e+01°)
1.04961492049954e+02	(-9.64092394424651e+00dB,8.83720143740126e+01°)
1.07406359274050e+02	(-9.44118730504402e+00dB,8.74449699130799e+01°)
1.09908174771525e+02	(-9.24350723004179e+00dB,8.65167931391715e+01°)
1.12468265038070e+02	(-9.04788565401028e+00dB,8.55874071541348e+01°)
1.15087987467431e+02	(-8.85432596909190e+00dB,8.46567356620888e+01°)
1.17768731071118e+02	(-8.66283300989084e+00dB,8.37247037280246e+01°)
1.20511917214871e+02	(-8.47341303082333e+00dB,8.27912385285591e+01°)
1.23319000372296e+02	(-8.28607367578163e+00dB,8.18562700918110e+01°)
1.26191468896038e+02	(-8.10082394018370e+00dB,8.09197320233435e+01°)
1.29130845806931e+02	(-7.91767412550119e+00dB,7.99815622150902e+01°)
1.32138689601519e+02	(-7.73663578638080e+00dB,7.90417035341496e+01°)
1.35216595078396e+02	(-7.55772167049778e+00dB,7.81001044883059e+01°)
1.38366194183787e+02	(-7.38094565130828e+00dB,7.71567198651040e+01°)
1.41589156876827e+02	(-7.20632265389532e+00dB,7.62115113412879e+01°)
1.44887192014998e+02	(-7.03386857413595e+00dB,7.52644480594000e+01°)
1.48262048260183e+02	(-6.86360019145105e+00dB,7.43155071683387e+01°)
1.51715515005836e+02	(-6.69553507543601e+00dB,7.33646743246932e+01°)
1.55249423325738e+02	(-6.52969148671033e+00dB,7.24119441517074e+01°)
1.58865646944856e+02	(-6.36608827236463e+00dB,7.14573206527914e+01°)
1.62566103232819e+02	(-6.20474475642678e+00dB,7.05008175765833e+01°)
1.66352754220534e+02	(-6.04568062581318e+00dB,6.95424587306868e+01°)
1.70227607640475e+02	(-5.88891581227533e+00dB,6.85822782413572e+01°)
1.74192717991216e+02	(-5.73447037089729e+00dB,6.76203207565996e+01°)
1.78250187626749e+02	(-5.58236435574320e+00dB,6.66566415903639e+01°)
1.82402167871181e+02	(-5.43261769329720e+00dB,6.56913068057871e+01°)
1.86650860159398e+02	(-5.28525005437792e+00dB,6.47243932357301e+01°)
1.90998517204287e+02	(-5.14028072524756e+00dB,6.37559884392009e+01°)
1.95447444191162e+02	(-4.99772847866863e+00dB,6.27861905926304e+01°)
1.99999999999999e+02	(-4.85761144568938e+00dB,6.18151083153797e+01°)
