Freq.	V(n002)
1.83020610631107e+04	(-1.17976698197699e+01dB,2.46201629600329e+01°)
1.88364908948982e+04	(-1.00255870995106e+01dB,3.41069867930632e+01°)
1.93865263595223e+04	(-8.35741447199003e+00dB,3.84369918981827e+01°)
1.99526231496890e+04	(-6.95412422854413e+00dB,3.98101444709433e+01°)
2.05352502645717e+04	(-5.81139233880272e+00dB,3.95831167848301e+01°)
2.11348903983667e+04	(-4.88755896650974e+00dB,3.85096750853065e+01°)
2.17520403401955e+04	(-4.13955459483865e+00dB,3.70090275661544e+01°)
2.23872113856836e+04	(-3.53095229721472e+00dB,3.53181253626928e+01°)
2.30409297605587e+04	(-3.03266173522224e+00dB,3.35719773931758e+01°)
2.37137370566168e+04	(-2.62189199677931e+00dB,3.18469034385084e+01°)
2.44061906804201e+04	(-2.28088740411986e+00dB,3.01847228895385e+01°)
2.51188643150961e+04	(-1.99581414984387e+00dB,2.86067493432538e+01°)
2.58523483956222e+04	(-1.75586365085253e+00dB,2.71220962193911e+01°)
2.66072505979884e+04	(-1.55255451306986e+00dB,2.57326911008560e+01°)
2.73841963426439e+04	(-1.37919688002520e+00dB,2.44363332571298e+01°)
2.81838293126448e+04	(-1.23048381583468e+00dB,2.32285647817814e+01°)
2.90068119869319e+04	(-1.10218009040133e+00dB,2.21038127319528e+01°)
2.98538261891799e+04	(-9.90884928892049e-01dB,2.10560794496410e+01°)
3.07255736526748e+04	(-8.93850688390243e-01dB,2.00793515678302e+01°)
3.16227766016841e+04	(-8.08843777184990e-01dB,1.91678337231649e+01°)
3.25461783498050e+04	(-7.34037511306919e-01dB,1.83160734065663e+01°)
3.34965439157831e+04	(-6.67929174146243e-01dB,1.75190187855406e+01°)
3.44746606573153e+04	(-6.09275479434378e-01dB,1.67720359093767e+01°)
3.54813389233580e+04	(-5.57042084269216e-01dB,1.60709019706227e+01°)
3.65174127254842e+04	(-5.10363877237985e-01dB,1.54117851155344e+01°)
3.75837404288449e+04	(-4.68513570184864e-01dB,1.47912173592378e+01°)
3.86812054633057e+04	(-4.30876721440184e-01dB,1.42060646490763e+01°)
3.98107170553502e+04	(-3.96931766240484e-01dB,1.36534965168059e+01°)
4.09732109813546e+04	(-3.66233965852323e-01dB,1.31309567405003e+01°)
4.21696503428587e+04	(-3.38402439545367e-01dB,1.26361357920394e+01°)
4.34010263644749e+04	(-3.13109634400374e-01dB,1.21669454424121e+01°)
4.46683592150968e+04	(-2.90072732727447e-01dB,1.17214956487946e+01°)
4.59726988530878e+04	(-2.69046607221687e-01dB,1.12980736988953e+01°)
4.73151258961486e+04	(-2.49818018482471e-01dB,1.08951255033773e+01°)
4.86967525165869e+04	(-2.32200814533579e-01dB,1.05112388829000e+01°)
5.01187233627278e+04	(-2.16031942237678e-01dB,1.01451286772973e+01°)
5.15822165072312e+04	(-2.01168119534170e-01dB,9.79562350080584e+00°)
5.30884444230995e+04	(-1.87483047892773e-01dB,9.46165397273287e+00°)
5.46386549881861e+04	(-1.74865068259767e-01dB,9.14224226345261e+00°)
5.62341325190356e+04	(-1.63215182586084e-01dB,8.83649280857670e+00°)
5.78761988349128e+04	(-1.52445377910646e-01dB,8.54358405795603e+00°)
5.95662143529018e+04	(-1.42477201800274e-01dB,8.26276113988192e+00°)
6.13055792149828e+04	(-1.33240547387214e-01dB,7.99332933390381e+00°)
6.30957344480201e+04	(-1.24672613810965e-01dB,7.73464825777811e+00°)
6.49381631576219e+04	(-1.16717013959077e-01dB,7.48612668507912e+00°)
6.68343917568623e+04	(-1.09323006320439e-01dB,7.24721791991081e+00°)
6.87859912308816e+04	(-1.02444831753984e-01dB,7.01741566399255e+00°)
7.07945784384147e+04	(-9.60411392236399e-02dB,6.79625031921787e+00°)
7.28618174513237e+04	(-9.00744872041011e-02dB,6.58328567568768e+00°)
7.49894209332466e+04	(-8.45109096382624e-02dB,6.37811594128777e+00°)
7.71791515585022e+04	(-7.93195371177168e-02dB,6.18036307420251e+00°)
7.94328234724292e+04	(-7.44722654360916e-02dB,5.98967438441887e+00°)
8.17523037943661e+04	(-6.99434648894807e-02dB,5.80572037435401e+00°)
8.41395141645206e+04	(-6.57097247157183e-02dB,5.62819279230788e+00°)
8.65964323360077e+04	(-6.17496279121972e-02dB,5.45680287556279e+00°)
8.91250938133757e+04	(-5.80435523808803e-02dB,5.29127976268199e+00°)
9.17275935389792e+04	(-5.45734949433997e-02dB,5.13136905694786e+00°)
9.44060876285936e+04	(-5.13229152688251e-02dB,4.97683152497277e+00°)
9.71627951577119e+04	(-4.82765971778949e-02dB,4.82744191634840e+00°)
1.00000000000000e+05	(-4.54205251434719e-02dB,4.68298789180777e+00°)
