time	V(n003)
9.194859374611049e-05	1.721816e+00
9.243687499611049e-05	1.721797e+00
9.292515624611049e-05	1.721780e+00
9.341343749611049e-05	1.721766e+00
9.390171874611049e-05	1.721755e+00
9.438999999611049e-05	1.721745e+00
9.487828124611049e-05	1.721738e+00
9.536656249611049e-05	1.721732e+00
9.585484374611049e-05	1.721727e+00
9.634312499611049e-05	1.721725e+00
9.683140624611049e-05	1.721724e+00
9.731968749611049e-05	1.721723e+00
9.780796874611049e-05	1.721724e+00
9.829624999611049e-05	1.721726e+00
9.878453124611049e-05	1.721729e+00
9.927281249611049e-05	1.721732e+00
9.976109374611049e-05	1.721737e+00
1.000000010000000e-04	1.721739e+00
1.000000020000000e-04	9.638822e-01
1.000000179999999e-04	9.638532e-01
1.000000499999998e-04	9.637952e-01
1.000001139999995e-04	9.636793e-01
1.000002419999990e-04	9.634474e-01
1.000004979999980e-04	9.629837e-01
1.000010099999960e-04	9.620563e-01
1.000020339999919e-04	9.602017e-01
1.000040819999837e-04	9.564939e-01
1.000081779999673e-04	9.490831e-01
1.000163699999346e-04	9.342809e-01
1.000327539998691e-04	9.047536e-01
1.000655219997382e-04	8.460076e-01
1.001310579994763e-04	7.297434e-01
1.002621299989526e-04	5.020808e-01
1.005242739979051e-04	6.585329e-02
1.010125552479051e-04	-6.812366e-01
1.015008364979051e-04	-1.346968e+00
1.019891177479051e-04	-1.936233e+00
1.024773989979051e-04	-2.453827e+00
1.029656802479051e-04	-2.904428e+00
1.034539614979051e-04	-3.292591e+00
1.039422427479051e-04	-3.622726e+00
1.044305239979051e-04	-3.899101e+00
1.049188052479051e-04	-4.125824e+00
1.054070864979051e-04	-4.306846e+00
1.058953677479051e-04	-4.445949e+00
1.063836489979051e-04	-4.546747e+00
1.068719302479051e-04	-4.612683e+00
1.073602114979051e-04	-4.647031e+00
1.078484927479051e-04	-4.652893e+00
1.083367739979051e-04	-4.633198e+00
1.088250552479051e-04	-4.590712e+00
1.093133364979051e-04	-4.528032e+00
1.098016177479051e-04	-4.447595e+00
1.102898989979051e-04	-4.351679e+00
1.107781802479051e-04	-4.242409e+00
1.112664614979051e-04	-4.121759e+00
1.117547427479051e-04	-3.991560e+00
1.122430239979051e-04	-3.853503e+00
1.127313052479051e-04	-3.709145e+00
1.132195864979051e-04	-3.559916e+00
1.137078677479051e-04	-3.407123e+00
1.141961489979051e-04	-3.251955e+00
1.146844302479051e-04	-3.095491e+00
1.151727114979051e-04	-2.938706e+00
1.156609927479051e-04	-2.782472e+00
1.161492739979051e-04	-2.627571e+00
1.166375552479051e-04	-2.474694e+00
1.171258364979051e-04	-2.324451e+00
1.176141177479051e-04	-2.177372e+00
1.181023989979051e-04	-2.033918e+00
1.185906802479051e-04	-1.894480e+00
1.190789614979051e-04	-1.759388e+00
1.195672427479051e-04	-1.628914e+00
1.200555239979051e-04	-1.503278e+00
1.205438052479051e-04	-1.382651e+00
1.210320864979051e-04	-1.267157e+00
1.215203677479051e-04	-1.156882e+00
1.220086489979051e-04	-1.051874e+00
1.224969302479051e-04	-9.521494e-01
1.229852114979051e-04	-8.576923e-01
1.234734927479051e-04	-7.684614e-01
1.239617739979051e-04	-6.843916e-01
1.244500552479051e-04	-6.053969e-01
1.249383364979051e-04	-5.313727e-01
1.254266177479051e-04	-4.621991e-01
1.259148989979051e-04	-3.977424e-01
1.264031802479051e-04	-3.378575e-01
1.268914614979051e-04	-2.823899e-01
1.273797427479051e-04	-2.311777e-01
1.278680239979051e-04	-1.840528e-01
1.283563052479051e-04	-1.408426e-01
1.288445864979051e-04	-1.013717e-01
1.293328677479051e-04	-6.546272e-02
1.298211489979051e-04	-3.293778e-02
1.303094302479051e-04	-3.619231e-03
1.307977114979051e-04	2.266924e-02
1.312859927479051e-04	4.610185e-02
